Dia;Hora;Temp Amb [ºC];Umidade [%];T1 [ºC];T2 [ºC];T3 [ºC];Isc [mA];Tensão [V];Corrente [mA]
29/10/2019;04:00;21.0;22.0;20.875;21.0625;20.9375;0.0;0.012000000104308128;0.0
29/10/2019;04:01;21.0;22.0;21.0;21.125;21.0625;0.0;0.012000000104308128;-0.20000000298023224
29/10/2019;04:03;21.0;22.0;21.0;21.125;21.0625;0.0;0.012000000104308128;-0.10000000149011612
29/10/2019;04:04;21.0;22.0;21.0;21.125;21.0625;0.0;0.00800000037997961;-0.20000000298023224
29/10/2019;04:05;21.0;22.0;21.0625;21.1875;21.125;0.0;0.00800000037997961;-0.10000000149011612
29/10/2019;04:06;21.0;22.0;21.125;21.1875;21.125;0.0;0.00800000037997961;0.0
29/10/2019;04:07;21.0;22.0;21.125;21.1875;21.125;0.0;0.012000000104308128;-0.20000000298023224
29/10/2019;04:09;21.0;22.0;21.125;21.25;21.1875;0.0;0.012000000104308128;0.0
29/10/2019;04:10;21.0;22.0;21.125;21.1875;21.125;0.0;0.012000000104308128;-0.20000000298023224
29/10/2019;04:11;21.0;22.0;21.1875;21.25;21.1875;0.0;0.01600000075995922;-0.20000000298023224
29/10/2019;04:12;21.0;22.0;21.1875;21.25;21.1875;0.0;0.012000000104308128;-0.20000000298023224
29/10/2019;04:13;21.0;22.0;21.1875;21.25;21.1875;0.0;0.012000000104308128;-0.10000000149011612
29/10/2019;04:15;21.0;22.0;21.1875;21.25;21.1875;-0.10000000149011612;0.012000000104308128;-0.10000000149011612
29/10/2019;04:16;21.0;22.0;21.1875;21.25;21.25;-0.10000000149011612;0.00800000037997961;-0.20000000298023224
29/10/2019;04:18;21.0;22.0;21.25;21.25;21.25;-0.10000000149011612;0.012000000104308128;0.0
29/10/2019;04:19;21.0;22.0;21.1875;21.25;21.1875;-0.10000000149011612;0.00800000037997961;-0.10000000149011612
29/10/2019;04:20;21.0;22.0;21.1875;21.25;21.1875;-0.10000000149011612;0.00800000037997961;-0.10000000149011612
29/10/2019;04:21;21.0;22.0;21.1875;21.1875;21.1875;-0.10000000149011612;0.012000000104308128;-0.20000000298023224
29/10/2019;04:22;21.0;22.0;21.1875;21.1875;21.1875;-0.10000000149011612;0.012000000104308128;0.0
